time [ms]	Pressure [Hgmm]	illuminance [lux]
9.55 	 28.70 	 -0.42
9.57 	 24.70 	 -0.45
9.60 	 28.80 	 -0.50
9.62 	 25.90 	 -0.54
9.65 	 28.90 	 -0.55
9.68 	 25.90 	 -0.49
9.70 	 30.40 	 -0.36
9.72 	 26.60 	 -0.17
9.75 	 28.80 	 0.07
9.78 	 27.30 	 0.32
9.80 	 27.60 	 0.53
9.82 	 27.50 	 0.69
9.85 	 27.50 	 0.75
9.88 	 28.70 	 0.72
9.90 	 27.00 	 0.64
9.93 	 31.00 	 0.55
9.95 	 26.50 	 0.50
9.97 	 30.50 	 0.49
10.00 	 27.00 	 0.49
10.03 	 31.20 	 0.46
10.05 	 27.70 	 0.39
10.07 	 31.70 	 0.25
10.10 	 29.40 	 0.06
10.12 	 29.40 	 -0.16
10.15 	 30.00 	 -0.38
10.18 	 30.00 	 -0.56
10.20 	 29.90 	 -0.68
10.22 	 29.80 	 -0.72
10.25 	 29.90 	 -0.70
10.28 	 29.20 	 -0.66
10.30 	 33.50 	 -0.60
10.32 	 29.50 	 -0.56
10.35 	 33.70 	 -0.53
10.38 	 29.70 	 -0.49
10.40 	 33.50 	 -0.44
10.43 	 29.60 	 -0.37
10.45 	 34.40 	 -0.29
10.47 	 31.10 	 -0.18
10.50 	 32.20 	 -0.05
10.53 	 31.20 	 0.10
10.55 	 33.80 	 0.25
10.57 	 31.70 	 0.36
10.60 	 32.90 	 0.42
10.62 	 31.30 	 0.43
10.65 	 35.20 	 0.41
10.68 	 31.00 	 0.41
10.70 	 34.90 	 0.45
10.72 	 31.80 	 0.54
10.75 	 36.30 	 0.66
10.78 	 32.00 	 0.78
10.80 	 36.10 	 0.87
10.82 	 33.30 	 0.88
10.85 	 33.50 	 0.78
10.88 	 33.80 	 0.56
10.90 	 34.00 	 0.24
10.93 	 34.20 	 -0.12
10.95 	 34.00 	 -0.47
10.97 	 33.90 	 -0.74
11.00 	 35.50 	 -0.90
11.03 	 33.70 	 -0.96
11.05 	 37.60 	 -0.93
11.07 	 33.50 	 -0.85
11.10 	 37.60 	 -0.75
11.12 	 33.90 	 -0.65
11.15 	 37.90 	 -0.57
11.18 	 33.80 	 -0.51
11.20 	 37.80 	 -0.46
11.22 	 34.90 	 -0.38
11.25 	 38.60 	 -0.27
11.28 	 35.50 	 -0.09
11.30 	 38.10 	 0.13
11.32 	 36.10 	 0.36
11.35 	 36.40 	 0.55
11.38 	 36.70 	 0.69
11.40 	 36.30 	 0.76
11.43 	 38.40 	 0.80
11.45 	 36.10 	 0.79
11.47 	 40.10 	 0.75
11.50 	 36.10 	 0.67
11.53 	 40.20 	 0.53
11.55 	 36.00 	 0.35
11.57 	 39.70 	 0.10
11.60 	 36.40 	 -0.17
11.62 	 41.60 	 -0.45
11.65 	 37.50 	 -0.67
11.68 	 40.60 	 -0.80
11.70 	 38.90 	 -0.80
11.72 	 38.90 	 -0.70
11.75 	 38.70 	 -0.53
11.78 	 38.40 	 -0.35
11.80 	 40.30 	 -0.21
11.82 	 37.50 	 -0.13
11.85 	 41.50 	 -0.09
11.88 	 37.30 	 -0.09
11.90 	 41.00 	 -0.12
11.93 	 38.30 	 -0.16
11.95 	 42.50 	 -0.18
11.97 	 38.70 	 -0.14
12.00 	 42.50 	 -0.03
12.03 	 39.70 	 0.16
12.05 	 42.10 	 0.38
12.07 	 40.40 	 0.60
12.10 	 41.00 	 0.77
12.12 	 40.60 	 0.88
12.15 	 40.40 	 0.92
12.18 	 42.90 	 0.92
12.20 	 40.00 	 0.87
12.22 	 44.00 	 0.80
12.25 	 39.70 	 0.69
12.28 	 43.80 	 0.54
12.30 	 41.40 	 0.35
12.32 	 43.50 	 0.10
12.35 	 41.80 	 -0.17
12.38 	 43.20 	 -0.45
12.40 	 42.20 	 -0.68
12.43 	 42.10 	 -0.82
12.45 	 44.00 	 -0.85
12.47 	 41.80 	 -0.77
12.50 	 45.50 	 -0.64
12.53 	 41.70 	 -0.50
12.55 	 45.90 	 -0.40
12.57 	 41.90 	 -0.35
12.60 	 45.90 	 -0.34
12.62 	 41.90 	 -0.37
12.65 	 45.80 	 -0.41
12.68 	 42.30 	 -0.45
12.70 	 46.60 	 -0.44
12.72 	 42.90 	 -0.37
12.75 	 47.00 	 -0.23
12.78 	 44.30 	 -0.03
12.80 	 44.10 	 0.22
12.82 	 47.50 	 0.49
12.85 	 45.10 	 0.73
12.88 	 44.80 	 0.93
12.90 	 44.50 	 1.06
12.93 	 48.30 	 1.12
12.95 	 44.70 	 1.10
12.97 	 49.10 	 0.99
13.00 	 45.90 	 0.79
13.03 	 46.20 	 0.51
13.05 	 46.30 	 0.18
13.07 	 46.50 	 -0.19
13.10 	 46.40 	 -0.54
13.12 	 46.30 	 -0.84
13.15 	 46.10 	 -1.03
13.18 	 48.60 	 -1.09
13.20 	 45.60 	 -1.03
13.22 	 49.20 	 -0.88
13.25 	 45.50 	 -0.70
13.28 	 50.00 	 -0.51
13.30 	 46.50 	 -0.36
13.32 	 50.00 	 -0.24
13.35 	 47.60 	 -0.15
13.38 	 48.00 	 -0.11
13.40 	 47.90 	 -0.10
13.43 	 47.50 	 -0.12
13.45 	 51.30 	 -0.13
13.47 	 47.90 	 -0.09
13.50 	 51.30 	 0.00
13.53 	 48.10 	 0.16
13.55 	 51.90 	 0.36
13.57 	 47.80 	 0.59
13.60 	 51.70 	 0.83
13.62 	 49.10 	 1.06
13.65 	 49.20 	 1.20
13.68 	 50.30 	 1.22
13.70 	 48.70 	 1.08
13.72 	 52.60 	 0.79
13.75 	 49.80 	 0.39
13.78 	 50.60 	 -0.05
13.80 	 50.60 	 -0.48
13.82 	 50.40 	 -0.84
13.85 	 50.10 	 -1.10
13.88 	 52.60 	 -1.23
13.90 	 49.80 	 -1.19
13.93 	 53.50 	 -1.00
